epoch;train_Total;train_MSE (Pos.) (x 100.0);train_NLL (Class) (x 1.0);train_NLL (Edge) (x 1.0);val_Total;val_MSE (Pos.) (x 100.0);val_NLL (Class) (x 1.0);val_NLL (Edge) (x 1.0)
1;2.7951124563813208;0.016943328130524606;0.9577202167361974;0.1430594240166247;2.635673774772141;0.01618431173292906;0.9145051649306668;0.1027374353226291
2;2.4766011088490485;0.015689289778781434;0.8499419717689355;0.057730158812599255;2.3313018398127636;0.0149471170284312;0.7818322107084151;0.05475792709324018
3;2.2819805456995965;0.01491920362273231;0.7580861429298917;0.031974040312197756;2.174570529535971;0.014496311658471152;0.6963082866511423;0.028631072771537217
4;2.178434223671754;0.014591034535784274;0.6924642566864689;0.026866512314911235;2.1067336935332155;0.014183299596431194;0.6630510457943584;0.02535268811738004
5;2.1210125415126484;0.014388624723690251;0.6575533232465386;0.024596747149344688;2.0706645253894926;0.01409955296073405;0.6324472109685237;0.028262016956252498
6;2.0605948803424834;0.014215203486538182;0.6166174724077185;0.022457060095051322;2.0399385411878757;0.013965957631905754;0.624903062472994;0.01843971519585706
7;2.0216801859835782;0.014076726091948027;0.5921576847483715;0.02184989286461011;1.9915416621375477;0.013746928517194255;0.5974271281369623;0.01942168702351347
8;1.9927115570108096;0.013971207686389486;0.5752192605262001;0.02037152804257736;1.955459908566911;0.013658960718477237;0.5691712634272125;0.02039257307430695
9;1.9698137411971888;0.013869898258009926;0.5625481455549598;0.020275772508766145;1.9138789248430748;0.013589670452969275;0.5345293457272171;0.020382529911468213
10;1.9457278661131858;0.013783814290383209;0.5480582620377342;0.019288173800402243;1.9011419385984383;0.013460949667892803;0.5381167112239476;0.016930263323414053
11;1.9222547643184662;0.01370575066958554;0.5322675606422126;0.019412136477454017;1.9024081360632512;0.013416983765260926;0.5420065821557567;0.01870317762723539
12;1.9022498486439388;0.013633870308830714;0.5202607825708886;0.018602035326325372;1.8723895889350857;0.013422027968897902;0.5114017509851141;0.01878504136773514
13;1.885658077855905;0.013562812148127705;0.5108179370264212;0.01855892692769339;1.8686680447036537;0.013471420267191917;0.5071116957193551;0.014414320189708146
14;1.87052560287714;0.013492655194519709;0.5031253445769349;0.01813473986896861;1.820139411507339;0.013258262534627224;0.4799169841846605;0.014396175607658676
